Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1870-10,-0.4339277,-0.6537823,-0.21407315
1870-11,-0.25888366,-0.48354694,-0.03422035
1870-12,-0.6780257,-0.9566423,-0.39940906
1871-01,-0.59703386,-0.87045556,-0.32361218
1871-02,-0.6945531,-0.98777205,-0.4013342
1871-03,-0.17238504,-0.48194817,0.1371781
1871-04,-0.22535764,-0.45770046,0.006985194
1871-05,-0.35199064,-0.60069597,-0.10328532
1871-06,-0.27330735,-0.5121894,-0.034425326
1871-07,-0.0757392,-0.296434,0.1449556
1871-08,-0.3263213,-0.55122757,-0.101415016
1871-09,-0.35908702,-0.57075423,-0.1474198
1871-10,-0.3755779,-0.56493604,-0.1862197
1871-11,-0.5433491,-0.78026474,-0.3064334
1871-12,-0.52260846,-0.79984236,-0.24537459
1872-01,-0.5948862,-0.8490046,-0.34076768
1872-02,-0.62936705,-0.9081901,-0.35054404
1872-03,-0.5194417,-0.81211144,-0.22677207
1872-04,-0.36799148,-0.62314373,-0.112839185
1872-05,-0.12310575,-0.3543428,0.108131275
1872-06,-0.2700298,-0.49167243,-0.048387203
1872-07,-0.111861765,-0.3238272,0.10010367
1872-08,0.030213172,-0.20602317,0.2664495
1872-09,-0.15752685,-0.35573965,0.04068594
1872-10,-0.17632775,-0.35113555,-0.0015199597
1872-11,-0.2946282,-0.48555392,-0.1037025
1872-12,-0.52200985,-0.75865066,-0.2853691
1873-01,-0.24044515,-0.46403643,-0.016853863
1873-02,-0.27537942,-0.5652336,0.014474796
1873-03,-0.39100897,-0.63119894,-0.15081899
1873-04,-0.4638743,-0.6811928,-0.2465558
1873-05,-0.31956738,-0.5342616,-0.10487317
1873-06,-0.29835007,-0.5140463,-0.08265379
1873-07,-0.15844737,-0.3746616,0.05776685
1873-08,-0.21752685,-0.4227518,-0.012301879
1873-09,-0.37857905,-0.5792608,-0.17789726
1873-10,-0.37805915,-0.5541868,-0.20193145
1873-11,-0.43114918,-0.6316177,-0.23068063
1873-12,-0.3203992,-0.58691174,-0.053886663
1874-01,-0.18422739,-0.4373892,0.06893442
1874-02,-0.42956984,-0.66886824,-0.19027142
1874-03,-0.6650835,-0.91985106,-0.410316
1874-04,-0.42400151,-0.64045745,-0.2075456
1874-05,-0.31362244,-0.56830156,-0.058943328
1874-06,-0.557189,-0.7867653,-0.3276128
1874-07,-0.1731557,-0.38676617,0.04045475
1874-08,-0.28981894,-0.52058434,-0.059053585
1874-09,-0.16115867,-0.34893107,0.026613748
1874-10,-0.4686148,-0.6403768,-0.29685274
1874-11,-0.42327505,-0.63592356,-0.21062651
1874-12,-0.31739002,-0.56875354,-0.0660265
1875-01,-0.5768635,-0.7989915,-0.35473558
1875-02,-0.44454283,-0.68081576,-0.2082699
1875-03,-0.56043875,-0.7893789,-0.33149862
1875-04,-0.34283867,-0.55312973,-0.13254763
1875-05,-0.25159618,-0.4543658,-0.048826575
1875-06,-0.26331127,-0.48177442,-0.04484812
1875-07,-0.18262927,-0.38439217,0.019133622
1875-08,-0.22790064,-0.45806772,0.0022664308
1875-09,-0.23561265,-0.44279674,-0.028428549
1875-10,-0.23134442,-0.40579852,-0.05689032
1875-11,-0.50844795,-0.7202853,-0.2966106
1875-12,-0.5866112,-0.8118651,-0.36135736
1876-01,-0.50701857,-0.723851,-0.2901861
1876-02,-0.32918742,-0.5511324,-0.1072425
1876-03,-0.3384681,-0.6092039,-0.06773229
1876-04,-0.39644733,-0.62721944,-0.16567525
1876-05,-0.54976314,-0.76741034,-0.33211598
1876-06,-0.32212177,-0.5437697,-0.10047382
1876-07,-0.20298436,-0.40193194,-0.0040367804
1876-08,-0.32751048,-0.56603444,-0.08898652
1876-09,-0.44264504,-0.66617465,-0.21911547
1876-10,-0.3072412,-0.4885475,-0.12593491
1876-11,-0.60198855,-0.80969155,-0.39428553
1876-12,-0.6275255,-0.87996435,-0.37508667
1877-01,-0.4101283,-0.618727,-0.20152955
1877-02,-0.1969918,-0.41270787,0.018724257
1877-03,-0.07130074,-0.28972465,0.14712316
1877-04,-0.31835008,-0.52314556,-0.11355463
1877-05,-0.4049069,-0.6076393,-0.20217447
1877-06,-0.10936576,-0.32591227,0.10718073
1877-07,0.0135528,-0.19721264,0.22431824
1877-08,0.22637425,0.004836572,0.44791195
1877-09,0.1267802,-0.06009919,0.31365958
1877-10,0.12244378,-0.06671904,0.3116066
1877-11,0.04236082,-0.14600493,0.23072657
1877-12,-0.028452175,-0.2615746,0.20467024
1878-01,-0.041363806,-0.2353862,0.15265858
1878-02,0.25766256,0.039160527,0.4761646
1878-03,0.4018996,0.16092664,0.6428726
1878-04,0.20821278,0.015630823,0.40079474
1878-05,-0.09607022,-0.3052999,0.11315947
1878-06,0.02112182,-0.19559504,0.23783867
1878-07,-0.06586606,-0.27176243,0.14003031
1878-08,-0.046801224,-0.2636475,0.17004506
1878-09,0.023877673,-0.1616196,0.20937495
1878-10,-0.15047975,-0.32301113,0.022051634
1878-11,-0.12220923,-0.32541174,0.080993295
1878-12,-0.29250836,-0.521585,-0.06343173
1879-01,-0.21439826,-0.42420822,-0.004588313
1879-02,-0.2403659,-0.46440527,-0.016326524
1879-03,-0.24998479,-0.4739825,-0.025987076
1879-04,-0.3603007,-0.5664668,-0.15413457
1879-05,-0.33373064,-0.52210116,-0.14536016
1879-06,-0.2511922,-0.44388092,-0.05850348
1879-07,-0.27747935,-0.47228497,-0.08267371
1879-08,-0.2649476,-0.4800542,-0.049840983
1879-09,-0.2342261,-0.4197375,-0.048714723
1879-10,-0.15386179,-0.33172625,0.024002675
1879-11,-0.378058,-0.6047788,-0.15133712
1879-12,-0.54544896,-0.8062123,-0.28468555
1880-01,-0.38028285,-0.5887757,-0.17178999
1880-02,-0.43526804,-0.6413239,-0.22921214
1880-03,-0.18374847,-0.42325127,0.055754334
1880-04,-0.3280928,-0.55845606,-0.097729586
1880-05,-0.32098442,-0.5190449,-0.122924
1880-06,-0.36897948,-0.55895674,-0.17900224
1880-07,-0.32276848,-0.50609374,-0.1394432
1880-08,-0.09594605,-0.30413273,0.11224063
1880-09,-0.29344976,-0.4756199,-0.11127959
1880-10,-0.37692985,-0.5266813,-0.22717842
1880-11,-0.26001146,-0.46768808,-0.052334864
1880-12,-0.29495233,-0.5540281,-0.035876554
1881-01,-0.17481676,-0.37763253,0.027998995
1881-02,-0.19697024,-0.41038913,0.016448656
1881-03,-0.21540478,-0.43860328,0.0077937213
1881-04,-0.054729875,-0.23638183,0.12692209
1881-05,-0.09950481,-0.2975298,0.09852016
1881-06,-0.3922816,-0.5972857,-0.18727751
1881-07,-0.18306014,-0.3740768,0.007956527
1881-08,-0.13224748,-0.34026673,0.07577177
1881-09,-0.2870475,-0.46413773,-0.10995729
1881-10,-0.21691297,-0.37515712,-0.058668822
1881-11,-0.370612,-0.5664594,-0.1747646
1881-12,-0.23727895,-0.45614395,-0.018413963
1882-01,-0.012104318,-0.19235842,0.16814978
1882-02,-0.09795286,-0.277659,0.08175327
1882-03,-0.14625397,-0.33779955,0.04529162
1882-04,-0.2902701,-0.46553996,-0.11500024
1882-05,-0.2899705,-0.46926627,-0.11067474
1882-06,-0.36692485,-0.5619073,-0.17194243
1882-07,-0.30812275,-0.49266466,-0.12358083
1882-08,-0.22429666,-0.434145,-0.014448299
1882-09,-0.14254853,-0.32362396,0.038526878
1882-10,-0.3814926,-0.54279697,-0.22018825
1882-11,-0.38760304,-0.5792377,-0.19596833
1882-12,-0.6291106,-0.856963,-0.40125826
1883-01,-0.44275698,-0.6103188,-0.27519518
1883-02,-0.44918904,-0.6333068,-0.26507127
1883-03,-0.2499668,-0.42452636,-0.07540723
1883-04,-0.41792127,-0.58546394,-0.2503786
1883-05,-0.32427022,-0.50489265,-0.14364779
1883-06,-0.16345319,-0.35416117,0.027254766
1883-07,-0.21679942,-0.38084182,-0.05275702
1883-08,-0.27880296,-0.47263855,-0.084967375
1883-09,-0.30435032,-0.46488342,-0.14381717
1883-10,-0.32403833,-0.47226122,-0.17581545
1883-11,-0.37507424,-0.56579155,-0.1843569
1883-12,-0.40582263,-0.62204117,-0.1896041
1884-01,-0.42684567,-0.6196382,-0.23405312
1884-02,-0.31168163,-0.4892346,-0.13412867
1884-03,-0.49332944,-0.6845631,-0.30209577
1884-04,-0.4690028,-0.6335046,-0.30450103
1884-05,-0.54684,-0.7067056,-0.3869745
1884-06,-0.49389407,-0.67333245,-0.31445566
1884-07,-0.5570321,-0.72466135,-0.38940284
1884-08,-0.41936886,-0.61024153,-0.22849621
1884-09,-0.500129,-0.65859085,-0.34166715
1884-10,-0.44911367,-0.59767866,-0.30054867
1884-11,-0.57073754,-0.76405793,-0.37741706
1884-12,-0.47279766,-0.69633657,-0.24925873
1885-01,-0.64381367,-0.8231275,-0.4644998
1885-02,-0.5396468,-0.7213869,-0.3579068
1885-03,-0.4067903,-0.57812375,-0.23545684
1885-04,-0.62023354,-0.77133054,-0.4691365
1885-05,-0.59390104,-0.76048326,-0.42731884
1885-06,-0.62605745,-0.8111756,-0.44093928
1885-07,-0.4104348,-0.58129185,-0.23957777
1885-08,-0.39744347,-0.5851584,-0.20972857
1885-09,-0.34508964,-0.5089547,-0.18122461
1885-10,-0.3476788,-0.49639732,-0.1989603
